provider_name,agreement_name,service_name,step_name,sender_name,requests,message_parts
"Akton_Bulk","BulkSubscriptionStarion","CHAT_1101","Delivery","CHAT1101","230","335"
"Akton_Bulk","BulkSubscriptionStarion","SrnBulkSaDr2","Delivery","OzVoz","334","334"
"Infobip","InfobipBulkSubscription","Movem","MtSms","Movem","326","326"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","Audi_servis","162","324"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","BuZZ","108","324"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULK5005NoDL","1NonSmsCRDrB","FashionCo","213","315"
"Akton_Bulk","BulkSubscriptionStarion","SrnBulkSaDr","Delivery","Neodent","305","305"
"Infobip","Infobip_OTT_SocNet","OTT_SocNet_Infobip","Isporuka","OneAPI","303","303"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULKNoDL","Pure_MT","GoKinder","265","297"
"NTHMedia","NTHBulkFull","S1599Ewe","PureMT","Ewe","227","297"
"NTHMedia","NthBulkOnDemand","N_1599WinnerBet","MT","WinnerBet","271","291"
"Infobip","InfobipBulkOnDemand","Banking_Infobip","1NonSmsCRDrB","LOVCEN","279","284"
"Infobip","InfobipBulkOnDemand","Banking_Infobip","1NonSmsCRDrB","EPLAtmMon","283","283"
"Akton_Bulk","BulkSubscriptionStarion","SrnPolycomBulk","Delivery","Formaxstore","279","279"
"ComTradeITSS","ComTradeITSSBulkSubsciption","Bulk5005DR","Delivery","GOMEX","129","278"
"Akton_Bulk","BulkOnDemand","SrnAlgBO","PureMT","MojAuto","269","269"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULK5005NoDL","1NonSmsCRDrB","FedExSrbija","89","267"
"Infobip","InfobipBulkSubscription","LINKFSU","MtSms","FSU","265","265"
"NTHMedia","NthBulkOnDemand","N_1599Stepin_Vajat","MT","StepinVajat","264","264"
"Akton_Bulk","BulkSubscriptionStarion","SrnBulkSaDr","Delivery","Sastanak","126","251"
"NTHMedia","NthBulkOnDemand","N_1599Dijamant (deleted)","MT","Dijamant","78","250"
